model_name,accuracy,timestamp
MNIST-only,3.549382716049383,2025-05-19 21:25:53
MNIST-Sudoku,88.73456790123457,2025-05-19 21:25:53
Sudoku-only,89.6604938271605,2025-05-19 21:25:53
ResNet-Sudoku,82.09876543209876,2025-05-19 21:27:02
ResNet-Sudoku-Finetuned,81.32716049382717,2025-05-19 21:28:12
,,
